State,Year,Birthrate,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Daejeon,2020,0.805,0,-0.597014388,0.024840767,-1.447384234,-0.032380709,-0.459244925,-0.496906705
Ulsan,2020,0.984,0,0.250642352,0.679770199,-1.154613719,0.188083695,-0.593979003,-0.60142711
Gyeonggi,2020,0.878,0,0.318636209,1.129231573,1.626706175,0.298315897,3.024474078,3.13376281
Gangwon,2020,1.036,0,-0.039464767,-0.976816011,0.309238857,-0.142612911,-0.534208915,-0.517857975
Chungbuk,2020,0.983,0,-0.150521399,-0.700718309,0.455624114,0.077851493,-0.479302035,-0.472483423
Chungnam,2020,1.029,0,0.556614705,-0.424620608,0.162853599,0.188083695,-0.342175026,-0.328491624
Jeonbuk,2020,0.909,0,-0.198117098,-1.034603902,-0.861843204,-0.693773922,-0.450559071,-0.446909086
Jeonnam,2020,1.145,0,0.153184492,-1.13733793,-0.569072689,-0.58354172,-0.502618605,-0.467955799
Gyeongbuk,2020,1.003,0,0.107855254,-0.893344612,-0.129916916,-0.58354172,-0.283001961,-0.21225871
Gyeongnam,2020,0.945,0,0.069325403,-0.431041484,-0.276302174,-0.473309518,-0.060692666,0.012785466
Jeju,2020,1.021,0,1.65131579,-0.520933759,0.748394629,0.629012503,-0.715130179,-0.752358016
Seoul,2021,0.626,0,1.5674567,2.220780626,-0.861843204,0.188083695,2.018355532,1.911484544
Busan,2021,0.728,0,-0.03039892,0.326621976,-0.422687431,-1.024470528,-0.036959145,-0.000670011
Daegu,2021,0.785,0,-0.077994619,0.230308824,-0.861843204,-1.13470273,-0.261086101,-0.248863525
Incheon,2021,0.778,0,0.130519873,0.5962988,-0.569072689,-0.58354172,-0.073220504,-0.05753874
Gwangju,2021,0.896,0,-0.234380488,-0.013684494,-0.422687431,-0.804006124,-0.469544195,-0.50750912
Daejeon,2021,0.81,0,-0.510888837,-0.071472385,-1.008228461,-0.473309518,-0.470573881,-0.502286766
Ulsan,2021,0.94,0,0.300504514,0.551352663,-1.593769492,-0.363077316,-0.607123202,-0.609219063
Gyeonggi,2021,0.853,0,0.325435594,1.045760175,2.065861947,-0.142612911,2.984680125,3.154705069
Gangwon,2021,0.979,0,-0.025865996,-1.060287409,0.748394629,-0.804006124,-0.543143731,-0.522422466
Chungbuk,2021,0.949,0,-0.080261081,-0.816294091,0.455624114,-0.363077316,-0.491028603,-0.479461445
Chungnam,2021,0.963,0,0.633674409,-0.55945902,0.162853599,-0.58354172,-0.353247768,-0.332470345
Jeonbuk,2021,0.85,0,-0.209449408,-1.150179684,-0.569072689,-1.244934933,-0.4659125,-0.455213894
Jeonnam,2021,1.017,0,0.28463928,-1.207967575,-0.569072689,-1.244934933,-0.515488463,-0.474470122
Gyeongbuk,2021,0.966,0,-0.019066611,-1.034603902,-0.715457946,-1.244934933,-0.299043056,-0.222120107
Gyeongnam,2021,0.903,0,0.173582649,-0.482408499,-0.569072689,-1.024470528,-0.091589267,-0.004272694
Jeju,2021,0.951,0,1.492663459,-0.533775513,0.894779887,-0.032380709,-0.718197481,-0.752989664
Seoul,2022,0.593,0,2.471774988,2.265726763,-1.447384234,-0.693773922,1.982419274,1.877126952
Busan,2022,0.723,0,0.47728854,0.37798899,-0.715457946,-1.355167135,-0.058586162,-0.020344469
Daegu,2022,0.757,0,0.540749472,0.442197758,-1.300998976,-1.575631539,-0.279290502,-0.261183103
Incheon,2022,0.747,0,0.561147629,0.75682072,0.748394629,-0.914238326,-0.075887775,-0.053376094
Gwangju,2022,0.844,0,0.33223498,0.005578137,-0.422687431,-1.244934933,-0.477753881,-0.511183488
Daejeon,2022,0.842,0,0.198513729,0.089049535,-0.715457946,-0.914238326,-0.477589518,-0.506684538
Ulsan,2022,0.848,0,0.765129197,0.493564772,-1.593769492,-1.024470528,-0.617005522,-0.615114027
Gyeonggi,2022,0.839,0,1.279616043,1.321857876,1.773091432,-0.473309518,2.93473918,3.155850799
Gangwon,2022,0.968,0,0.454623921,-1.047445655,0.748394629,-0.914238326,-0.546584475,-0.524621761
Chungbuk,2022,0.871,0,0.558881167,-0.694297432,0.455624114,-0.914238326,-0.499388149,-0.482690137
Chungnam,2022,0.909,0,1.241086191,-0.508092006,0.748394629,-0.804006124,-0.354858767,-0.328724293
Jeonbuk,2022,0.817,0,0.291438666,-1.105233546,-0.276302174,-1.685863741,-0.476733864,-0.461638918
Jeonnam,2022,0.969,0,1.256951424,-1.079550039,-0.129916916,-1.244934933,-0.524449867,-0.478744595
Gyeongbuk,2022,0.93,0,0.481821463,-0.989657764,0.309238857,-1.575631539,-0.315642501,-0.231940951
Gyeongnam,2022,0.838,0,0.50221962,-0.527354636,-0.422687431,-1.465399337,-0.115662391,-0.018556441
Jeju,2022,0.919,0,1.957288142,-0.533775513,1.041165144,-0.58354172,-0.720498562,-0.75258577
Seoul,2023,0.552,0,3.008926451,2.207938872,-0.422687431,-0.804006124,1.952171664,1.851908171
Busan,2023,0.664,0,0.783260892,0.320201099,-0.422687431,-1.465399337,-0.075808011,-0.034774044
Daegu,2023,0.702,0,0.824057206,0.410093374,-0.569072689,-1.465399337,-0.292102349,-0.264762847
Incheon,2023,0.694,0,1.018972927,0.731137213,1.626706175,-0.914238326,-0.079197996,-0.049092199
Gwangju,2023,0.706,0,0.624608561,0.082628658,-0.569072689,-1.244934933,-0.489867186,-0.517148908
Daejeon,2023,0.787,0,0.327702056,0.082628658,-0.129916916,-0.693773922,-0.485250522,-0.510084045
Ulsan,2023,0.814,0,1.132296021,0.564194416,-1.154613719,-1.024470528,-0.625536682,-0.618362791
Gyeonggi,2023,0.766,0,1.327211742,1.251228232,0.602009372,-0.58354172,2.897398586,3.166349988
Gangwon,2023,0.893,0,0.96231138,-1.002499518,0.894779887,-1.024470528,-0.552732373,-0.528817586
Chungbuk,2023,0.886,0,1.125496635,-0.572300773,0.602009372,-0.693773922,-0.500620871,-0.479458987
Chungnam,2023,0.842,0,1.619585323,-0.475987622,1.187550402,-0.804006124,-0.356909677,-0.322423387
Jeonbuk,2023,0.78,0,0.61100979,-1.105233546,-0.276302174,-1.685863741,-0.485945438,-0.465085532
Jeonnam,2023,0.972,0,1.438268374,-1.098812669,0.162853599,-1.244934933,-0.529930645,-0.478627441
Gyeongbuk,2023,0.86,0,0.885251677,-1.008920394,-0.276302174,-1.575631539,-0.334536985,-0.243362623
Gyeongnam,2023,0.799,0,0.980443075,-0.469566745,-0.715457946,-1.465399337,-0.138285254,-0.026446296
Jeju,2023,0.827,0,2.634960242,-0.495250252,0.894779887,-0.58354172,-0.724205187,-0.752815162
Seoul,2024,0.58,0,2.818543654,2.118046597,-0.276302174,-0.693773922,1.945163278,1.841688349
Busan,2024,0.68,0,0.733398731,0.262413208,-0.276302174,-1.575631539,-0.088188406,-0.046899458
Daegu,2024,0.75,0,0.50221962,0.211046194,-0.129916916,-1.244934933,-0.302511597,-0.275252204
Incheon,2024,0.76,1,0.855787672,0.551352663,1.773091432,-0.693773922,-0.077522945,-0.046499251
Gwangju,2024,0.7,0,0.29597159,-0.02010537,-0.715457946,-1.024470528,-0.495385429,-0.519056958
Daejeon,2024,0.79,0,0.189447882,0.044103397,-0.129916916,-1.024470528,-0.487722008,-0.510909037
Ulsan,2024,0.86,0,1.014440003,0.339463729,-0.715457946,-0.693773922,-0.630946155,-0.621985136
Gyeonggi,2024,0.79,0,1.041637546,0.904500886,0.602009372,-0.58354172,2.866161174,3.162875929
Gangwon,2024,0.89,0,0.75606335,-1.015341271,0.016468341,-1.024470528,-0.561818258,-0.535674768
Chungbuk,2024,0.88,0,0.862587058,-0.681455679,0.455624114,-0.693773922,-0.511002322,-0.486994104
Chungnam,2024,0.88,0,1.537992696,-0.553038143,1.187550402,-0.693773922,-0.361701581,-0.323256161
Jeonbuk,2024,0.81,0,0.533950086,-1.124496176,-0.276302174,-1.575631539,-0.495949822,-0.470907992
Jeonnam,2024,1.03,0,1.390672674,-1.066708285,0.016468341,-1.244934933,-0.540152568,-0.488057909
Gyeongbuk,2024,0.9,0,0.880718753,-1.053866532,-0.276302174,-1.465399337,-0.345583139,-0.248522304
Gyeongnam,2024,0.82,0,0.783260892,-0.475987622,-0.569072689,-1.575631539,-0.155868459,-0.039510988
Jeju,2024,0.83,0,2.666690709,-0.450304115,-0.276302174,-0.693773922,-0.727128671,-0.754353727
